,mean,max,min,std,ir
asr,-0.00970654237051278,0.36113612694282776,-0.5387747769069352,0.1153824061147433,-0.0841249779525312
cbw,0.01262381567029881,0.41825785104139596,-0.35049517486538506,0.11031072287744216,0.11443869952991034
ckdw,0.004955292515695321,0.3087408364255346,-0.4095353246621279,0.13223213380161336,0.03747419309688899
ckdp,-0.005256717155700324,0.4787927941625077,-0.5556474697625183,0.18157744750513932,-0.028950275642307063
comb,0.01262381567029881,0.41825785104139596,-0.35049517486538506,0.11031072287744216,0.11443869952991034
