,asr,cbw,ckdw,ckdp,comb
20170602,-0.1732858049962017,0.24991646852775537,0.1832552907198386,-0.11719166806260106,0.24991646852775537
20170609,-0.12904949433983626,0.22403157892324274,0.005796199579955911,-0.3936680761197827,0.22403157892324274
20170616,0.11345176295126004,-0.1415352575146988,0.10671353630135405,0.23010915113647235,-0.1415352575146988
20170623,0.0324630945322961,0.00087640448208467,-0.012074208517891193,-0.004071521005392089,0.00087640448208467
20170630,-0.03360689656080719,0.22371743251369736,-0.15348610227374748,-0.27307964783912575,0.22371743251369736
20170707,-0.018300069161721305,-0.07797065579350557,-0.002519837967050745,0.07007503499071031,-0.07797065579350557
20170714,-0.07343924045221821,-0.003021660797671155,0.1412660965556111,0.3954919090344495,-0.003021660797671155
20170721,0.0255679109594125,0.03127526566155173,-0.026687765372754104,-0.28092979322164247,0.03127526566155173
20170728,-0.03082364810530432,-0.005835223781861448,-0.14578003824167113,-0.09224465544729715,-0.005835223781861448
20170804,-0.020030597374905944,-0.03122631223944658,0.024491733808721276,-0.1683237553637588,-0.03122631223944658
20170811,-0.00836864538947187,0.0823599185221412,-0.19297800696931508,-0.2950326695324098,0.0823599185221412
20170818,-0.006311223207086981,0.01855903548199451,0.04730465185268937,-0.05705506357555819,0.01855903548199451
20170825,-0.09207413801304828,0.26301192830984277,0.18374231782063816,0.05595842960007343,0.26301192830984277
20170901,-0.0040886989982944185,-0.005711792204511177,-0.12828302482366075,-0.14802442213560146,-0.005711792204511177
20170908,0.0030254742378664685,-0.0377414234109233,-0.037649058559253934,-0.06584327686215011,-0.0377414234109233
20170915,-0.05176447511386521,-0.017571941767563555,-0.0171440559915636,0.07486663340596045,-0.017571941767563555
20170922,-0.17671371821155943,0.13557092301757198,0.17237827507937373,0.23478234896359304,0.13557092301757198
20170929,0.03525338352870597,-0.09807528056614667,-0.16684003661866545,-0.07533633611318444,-0.09807528056614667
20171013,-0.12227773629401231,-0.09546007244687492,0.0009142210383701439,0.18758421514546983,-0.09546007244687492
20171020,-0.12955147552705737,0.11074517769603082,0.07553988673609899,0.23456251572268738,0.11074517769603082
20171027,-0.060630710190433805,0.0018691989015237303,0.11193003697116045,0.30991833409914765,0.0018691989015237303
20171103,-0.1519902156917437,0.3053044592822764,0.1949529581110356,0.20253242078228975,0.3053044592822764
20171110,0.057439691712223406,-0.09578083207286066,0.09373322675441013,0.2328742482823509,-0.09578083207286066
20171117,0.015612734635483095,-0.16649361783912567,-0.013381589824889226,-0.1494145406271497,-0.16649361783912567
20171124,-0.12948777804443465,0.054639569796753516,-0.0047458248150815665,-0.19348916717077866,0.054639569796753516
20171201,0.0063184959446536725,0.004818220689511153,0.18445231198314008,0.16909125536408,0.004818220689511153
20171208,-0.11121932562223315,0.1999210329854964,0.033357489979992584,0.11808685226531247,0.1999210329854964
20171215,0.13457487981340796,0.09413290262095657,0.19735692922831538,0.2912186914231888,0.09413290262095657
20171222,0.00392031423324873,-0.03520008049938451,-0.09422619318247051,-0.06657669970158027,-0.03520008049938451
20171229,-0.04625910975635917,0.025644709388637884,-0.0010037392774497988,-0.11276637426020743,0.025644709388637884
20180105,0.0167486266823862,0.011555914189847845,0.14425450441825716,0.18322666968362383,0.011555914189847845
20180112,0.009645633713754723,-0.09632741363096388,0.07370110490581425,0.08459336646285073,-0.09632741363096388
20180119,0.02464735739034145,0.005585230282055835,0.13148854535915744,0.11942421284098269,0.005585230282055835
20180126,0.06706849791479319,-0.03855076145858695,0.215375119946399,0.3916513741953196,-0.03855076145858695
20180202,-0.028318812283172172,-0.0859742787317239,-0.07494456034924434,-0.20519770686485242,-0.0859742787317239
